"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1148.2","MA1148.2",1,2525,50,6.3125,7.92079207920792,0.122266712917823,"PPARA::RXRA",0.856260769054737
"MA1527.2","MA1527.2",1,2540,50,6.35,7.8740157480315,0.122969236730918,"NFIC.1",0.856260769054737
"MA1516.2","MA1516.2",1,2561,50,6.4025,7.80944943381492,0.123952297557439,"KLF3",0.856260769054737
"MA0078.3","MA0078.3",1,2601,50,6.5025,7.68935024990388,0.125823269331733,"Sox17",0.856260769054737
"MA0613.1","MA0613.1",1,2603,50,6.5075,7.68344218209758,0.125916765419135,"FOXG1",0.856260769054737
"MA1988.2","MA1988.2",1,2614,50,6.535,7.65110941086458,0.126430904522613,"Atf3",0.856260769054737
"MA1634.2","MA1634.2",1,2614,50,6.535,7.65110941086458,0.126430904522613,"BATF",0.856260769054737
"MA0462.3","MA0462.3",1,2614,50,6.535,7.65110941086458,0.126430904522613,"BATF::JUN",0.856260769054737
"MA0835.3","MA0835.3",1,2614,50,6.535,7.65110941086458,0.126430904522613,"BATF3",0.856260769054737
"MA1928.2","MA1928.2",1,2614,50,6.535,7.65110941086458,0.126430904522613,"BNC2",0.856260769054737
"MA1472.3","MA1472.3",1,2615,50,6.5375,7.64818355640535,0.126477636940924,"Bhlha15",0.856260769054737
"MA0038.3","MA0038.3",1,2619,50,6.5475,7.63650248186331,0.126664554113853,"GFI1",0.856260769054737
"MA0896.2","MA0896.2",1,2621,50,6.5525,7.63067531476536,0.12675800520013,"Hmx1",0.856260769054737
"MA0832.2","MA0832.2",1,2657,50,6.6425,7.52728641324802,0.128439269731743,"Tcf21",0.856260769054737
"MA1713.2","MA1713.2",1,2660,50,6.65,7.5187969924812,0.12857930198255,"ZNF610",0.856260769054737
"MA0136.4","MA0136.4",1,2661,50,6.6525,7.51597143930853,0.128625976899422,"Elf5",0.856260769054737
"MA1641.2","MA1641.2",1,2689,50,6.7225,7.43770918557084,0.129932367059176,"MYF5",0.856260769054737
"MA1619.2","MA1619.2",1,2689,50,6.7225,7.43770918557084,0.129932367059176,"Ptf1A.1",0.856260769054737
"MA0869.3","MA0869.3",1,2692,50,6.73,7.42942050520059,0.130072279306983,"Sox11",0.856260769054737
"MA0017.3","MA0017.3",1,2693,50,6.7325,7.42666171555886,0.130118914222855,"NR2F1.1",0.856260769054737
"MA0258.2","MA0258.2",1,2706,50,6.765,7.3909830007391,0.130725054376359,"ESR2",0.856260769054737
"MA0592.4","MA0592.4",1,2737,50,6.8425,7.30727073438071,0.132169612990325,"ESRRA",0.856260769054737
"MA0897.2","MA0897.2",1,2745,50,6.8625,7.28597449908925,0.132542207305183,"Hmx2",0.856260769054737
"MA2098.1","MA2098.1",1,2772,50,6.93,7.21500721500722,0.133799122478062,"ZNF766",0.856260769054737
"MA1645.2","MA1645.2",1,2772,50,6.93,7.21500721500722,0.133799122478062,"NKX2-2",0.856260769054737
"MA0687.2","MA0687.2",1,2849,50,7.1225,7.02000702000702,0.13737865321633,"SPIC",0.856260769054737
"MA1952.2","MA1952.2",1,2854,50,7.135,7.00770847932726,0.137610834020851,"FOXJ2::ELF1",0.856260769054737
"MA1935.2","MA1935.2",1,2861,50,7.1525,6.99056274030059,0.137935834645866,"ERF::FOXI1",0.856260769054737
"MA2118.1","MA2118.1",1,2870,50,7.175,6.96864111498258,0.138353602590065,"FOXS1",0.856260769054737
"MA1656.2","MA1656.2",1,2885,50,7.2125,6.93240901213172,0.139049657491437,"ZNF449",0.856260769054737
"MA1942.2","MA1942.2",1,2940,50,7.35,6.80272108843537,0.141599452486312,"ETV2::FOXI1",0.856260769054737
"MA0471.3","MA0471.3",1,3006,50,7.515,6.65335994677312,0.144654215105377,"E2F6",0.856260769054737
